id,name,absolute_magnitude_h,is_potentially_hazardous,is_sentry_object,date_observed,est_diameter_min_km,est_diameter_max_km,relative_velocity_kmph,miss_distance_km,orbiting_body
3595775,(2012 AB11),22.32,False,False,2024-01-03,0.0913177026,0.2041925905,66101.0085197716,42945020.55338935,Earth
3605578,(2012 LJ2),21.7,False,False,2024-01-03,0.1214940408,0.2716689341,62605.7918647103,72656389.98248155,Earth
3645001,(2013 NT11),19.49,False,False,2024-01-03,0.3361669212,0.7516920875,136267.5931308216,58024777.65499457,Earth
3751529,(2016 GZ215),21.08,False,False,2024-01-03,0.1616422833,0.3614431336,13412.6297084999,47416427.49497433,Earth
3787600,(2017 UJ2),30.9,False,True,2024-01-03,0.0017561232,0.0039268108,20392.71468415,41723362.16037001,Earth
3789479,(2017 WQ1),24.98,False,False,2024-01-03,0.0268259417,0.0599846292,77947.7941353121,58770868.08443172,Earth
3837605,(2019 AE3),27.4,False,False,2024-01-03,0.0088014652,0.0196806745,30643.8908800298,32886309.79750948,Earth
3986746,(2020 BG1),22.08,False,False,2024-01-03,0.1019893859,0.2280551997,30660.8552813021,65717561.10127119,Earth
54048870,(2020 OU),22.23,False,False,2024-01-03,0.095182033,0.212833496,35815.2965269734,53503979.18145465,Earth
54278142,(2022 JM),28.8,False,True,2024-01-03,0.0046190746,0.0103285648,15135.7875736874,24915574.929952625,Earth
54339170,(2023 AE2),25.09,False,False,2024-01-03,0.0255008688,0.0570216761,40627.9359558418,62234185.289850384,Earth
54382904,(2023 RM9),22.63,False,False,2024-01-03,0.0791689667,0.1770271912,46687.637003535,63970228.434091866,Earth
54407115,(2023 WQ1),21.7,False,False,2024-01-03,0.1214940408,0.2716689341,21316.3863185218,33143995.883491017,Earth
54415862,(2023 XN7),21.91,False,False,2024-01-03,0.1102947845,0.2466266358,50245.145075255,36285724.08862874,Earth
54419016,(2024 AS),25.21,False,False,2024-01-03,0.0241298697,0.0539560289,26620.9107473446,9293487.461979702,Earth
54419812,(2024 AH3),25.67,False,True,2024-01-03,0.0195233786,0.0436556017,35581.2855133506,2692217.677265319,Earth
54419705,(2024 AA3),25.76,False,False,2024-01-03,0.0187307418,0.0418832119,38651.4528346904,5207160.128285559,Earth
54419817,(2024 AM3),26.6,False,False,2024-01-03,0.0127219879,0.0284472297,34700.8767701078,2680032.137885108,Earth
54425076,(2024 BB8),21.37,False,False,2024-01-03,0.1414343753,0.3162568776,43666.3832834038,69506951.39840552,Earth
2668499,668499 (2012 AB11),22.32,False,False,2024-01-03,0.0913177026,0.2041925905,66101.008470871,42945020.56834914,Earth
2304640,304640 (2006 WW1),19.17,False,False,2024-01-06,0.3895426161,0.8710437698,82917.386474944,45511421.604933254,Earth
3102756,(2002 AO11),23.05,False,False,2024-01-06,0.065246163,0.1458948557,66352.9893943133,60009526.330604255,Earth
3623521,(2013 AK20),23.19,False,False,2024-01-06,0.0611723235,0.1367854737,33449.0167383958,39773989.22219454,Earth
3630638,(2013 EU9),21.66,False,False,2024-01-06,0.1237527837,0.2767196367,23244.7020210603,68747709.96981454,Earth
3752775,(2016 JX5),26.9,False,False,2024-01-06,0.0110803882,0.0247765013,47409.8201474422,32857831.15019332,Earth
3780672,(2017 PM26),21.28,False,False,2024-01-06,0.1474195145,0.3296400556,67006.5424308666,32274818.88474144,Earth
3794988,(2017 YZ1),20.43,True,False,2024-01-06,0.2180494405,0.4875733714,44018.2595059564,72151871.79421762,Earth
54131589,(2021 EU4),24.66,False,False,2024-01-06,0.0310852938,0.0695088301,48806.5481244749,43483069.129521914,Earth
54162245,(2021 MQ1),23.05,False,False,2024-01-06,0.065246163,0.1458948557,77270.3508057131,20330046.370610718,Earth
2591179,591179 (2013 EU9),21.66,False,False,2024-01-06,0.1237527837,0.2767196367,23244.7048088382,68747717.67410485,Earth
54212682,(2021 UO1),28.03,False,True,2024-01-06,0.0065849878,0.0147244804,48600.390963496,62463681.30280699,Earth
54373932,(2023 MB3),30.0,False,True,2024-01-06,0.002658,0.0059434687,46861.3592628214,54712164.16199074,Earth
54419186,(2024 AH1),25.84,False,False,2024-01-06,0.0180532326,0.0403682552,34732.8834290542,3441304.746515805,Earth
54418498,(2024 AC),25.5,False,False,2024-01-06,0.0211132445,0.0472106499,24436.4638807862,2314264.029273852,Earth
54418648,(2023 YX1),24.86,False,False,2024-01-06,0.0283501249,0.0633928065,51523.5339034366,3877187.626500982,Earth
54420155,(2024 AV3),25.78,False,False,2024-01-06,0.0185590173,0.0414992243,49762.1209539445,4674438.11895243,Earth
54421084,(2024 BR),21.67,False,False,2024-01-06,0.1231841913,0.2754482254,68918.5793084036,30486662.87369185,Earth
3387092,(2007 SG11),22.68,False,False,2024-01-05,0.077366861,0.1729975604,21130.5453762448,41770289.11229606,Earth
3655366,(2013 YD),23.6,False,False,2024-01-05,0.0506471459,0.1132504611,95388.94889847,61854464.77133592,Earth
3759280,(2016 RW19),20.97,False,False,2024-01-05,0.1700415193,0.3802243961,55636.6868556782,49525995.352507204,Earth
3795150,(2017 YA8),22.33,False,False,2024-01-05,0.0908981358,0.2032544107,74295.3517022466,70732063.0488168,Earth
3989198,(2020 BT8),22.66,False,False,2024-01-05,0.0780827277,0.1745982871,32809.7259574529,60145232.97622988,Earth
54016989,(2020 JB1),26.4,False,False,2024-01-05,0.0139493823,0.0311917671,29836.407506762,29196034.17788345,Earth
54191244,(2021 QC3),24.24,False,False,2024-01-05,0.0377185489,0.0843412394,65428.143420128,71698045.11347933,Earth
54360724,(2023 KF5),26.45,False,False,2024-01-05,0.0136318556,0.0304817558,51299.9383417686,55087443.40398086,Earth
54376461,(2023 OG5),24.2,False,False,2024-01-05,0.0384197891,0.0859092601,55324.8986595102,72038821.29720987,Earth
54406858,(2023 WX),21.41,False,False,2024-01-05,0.138852907,0.310484539,59465.664578394,50637421.7920679,Earth
54417658,(2023 YX),23.34,False,False,2024-01-05,0.057089334,0.1276556316,24550.9579392311,26354773.33952009,Earth
54435948,(2024 HY),23.67,False,False,2024-01-05,0.0490405098,0.1096579137,25849.764640261,50459846.69689241,Earth
2168318,168318 (1989 DA),18.91,True,False,2024-01-08,0.439091446,0.9818383215,31986.5321203971,17607386.84326165,Earth
3102728,(2002 AY1),20.85,True,False,2024-01-08,0.1797028549,0.4018277992,62421.0107180472,5803016.373182669,Earth
3599868,(2012 DN31),24.0,False,False,2024-01-08,0.0421264611,0.0941976306,72972.4202450971,65568666.23654168,Earth
3781448,(2017 RJ15),21.85,False,False,2024-01-08,0.1133848361,0.2535362011,42691.0515194642,43416265.07868939,Earth
3798020,(2018 BW5),22.07,False,False,2024-01-08,0.1024601475,0.2291078547,1909.5781683299,55417734.736756496,Earth
3825490,(2018 MH7),26.1,False,False,2024-01-08,0.0160160338,0.0358129403,29893.7028024022,37444684.27899578,Earth
3836410,(2018 WA2),22.59,False,False,2024-01-08,0.0806408277,0.1803183724,34394.9468892197,12430132.615730776,Earth
3873324,(2019 TY),22.83,False,False,2024-01-08,0.0722029558,0.1614507173,64034.6295863063,43448783.64640447,Earth
54232321,(2022 AB),23.6,False,False,2024-01-08,0.0506471459,0.1132504611,72258.137061584,73783136.66511002,Earth
54239839,(2022 BG1),25.64,False,False,2024-01-08,0.0197949759,0.0442629117,49373.5955071968,56116108.472152084,Earth
54293876,(2020 AQ24),24.98,False,False,2024-01-08,0.0268259417,0.0599846292,67654.6269418544,38631012.60681062,Earth
54336963,(2022 YD6),24.18,False,False,2024-01-08,0.038775283,0.0867041687,57264.7339962281,33735239.56230263,Earth
54399994,(2023 UO9),22.31,False,False,2024-01-08,0.0917392059,0.2051351006,17215.683768265,10059756.9835435,Earth
54419604,(2024 AD2),26.43,False,False,2024-01-08,0.0137579896,0.0307638,26170.7901676125,4831184.612929102,Earth
54420157,(2024 AX3),27.67,False,False,2024-01-08,0.007772397,0.0173796081,19836.792686715,1844629.177055015,Earth
54421395,(2024 BM1),26.03,False,False,2024-01-08,0.0165407416,0.0369862226,26347.4259685811,5465304.567180989,Earth
54419807,(2024 AC3),25.25,False,False,2024-01-08,0.0236894499,0.0529712204,77405.0784197929,1562543.065125211,Earth
54448604,(2024 MM),24.5,False,False,2024-01-08,0.0334622374,0.0748238376,27845.1346011459,29701855.64783105,Earth
2199003,199003 (2005 WJ56),18.16,True,False,2024-01-07,0.620233153,1.3868834919,55047.0116924064,29849943.147815954,Earth
3398095,(2007 YZ),19.52,False,False,2024-01-07,0.3315545381,0.7413784854,63326.0810471213,28687887.11928798,Earth
3520662,(2010 JR34),27.7,False,False,2024-01-07,0.0076657557,0.0171411509,38150.2228974764,30452936.93148757,Earth
3596030,(2012 BV13),22.29,False,False,2024-01-07,0.0925880583,0.2070331923,67673.6862419358,71306312.87334982,Earth
3843476,(2019 PJ),23.78,False,False,2024-01-07,0.0466181437,0.1042413384,51829.9434207299,3719706.128269426,Earth
54100190,(2020 XA5),24.29,False,False,2024-01-07,0.0368599699,0.0824213984,29683.7186858648,21355494.62082355,Earth
54151575,(2021 LA),23.84,False,False,2024-01-07,0.0453476699,0.1014004725,89673.010465549,71686144.82731764,Earth
